ID,Type,Sigma,SMILES
B188,m,0.12,O=C(O)c1cccc(CSC(F)(F)F)c1
B473,m,0.65,Cc1ccc(S(=O)(=O)/N=C/Sc2cccc(C(=O)O)c2)cc1
B431,m,0.49,Cc1ccc(C)n1-c1cccc(C(=O)O)c1
B515,m,0.14,O=C(O)c1cccc(CP(=O)(c2ccccc2)c2ccccc2)c1
B76,m,0.63,O=C(O)c1cccc(S(=O)C(F)(F)F)c1
B403,m,0.09,O=C(O)c1cccc(-c2cccc(Br)c2)c1
B232,m,0.21,CN(c1cccc(C(=O)O)c1)S(C)(=O)=O
B202,m,0.39,CC(=O)Oc1cccc(C(=O)O)c1
B319,m,0.96,O=C(O)c1cccc(S(=O)(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1
B191,m,0.07,O=C([O-])Cc1cccc(C(=O)O)c1
B296,m,0.06,CC(C)(OO)c1cccc(C(=O)O)c1
B208,m,-0.06,O=C(O)c1cccc(C2CN2)c1
B496,m,0.07,CC(C)(C)c1ccc(-c2cccc(C(=O)O)c2)cc1
B146,m,0.44,CS(=O)Oc1cccc(C(=O)O)c1
B457,m,0.27,Cc1ccc(O)c(/N=N/c2cccc(C(=O)O)c2)c1
B133,m,-0.07,Cc1cccc(C(=O)O)c1
B301,m,0.4,C[NH+](C)Cc1cccc(C(=O)O)c1
B167,m,0.92,O=C(O)c1cccc(S(=O)(=O)C(F)(F)C(F)(F)F)c1
B325,m,0.66,N#CC(C#N)=Cc1cccc(C(=O)O)c1
B422,m,0.24,CC(=O)c1ccc(-c2cccc(C(=O)O)c2)o1
B333,m,0.23,O=C(O)c1cccc(-c2ncccn2)c1
B260,m,0.29,O=C(O)c1cccc(C(O)(C(F)(F)F)C(F)(F)F)c1
B137,m,0.43,C[Hg]c1cccc(C(=O)O)c1
B415,m,0.58,O=C(O)c1cccc(S(=O)c2ccc([N+](=O)[O-])cc2)c1
B508,m,0.2,CCCN(CCC)P(c1cccc(F)c1)c1cccc(C(=O)O)c1
B52,m,-0.04,O=C(O)c1cccc(NO)c1
B288,m,-0.04,CC(C)c1cccc(C(=O)O)c1
B4,m,0.48,O=C(O)c1cccc([Si](Br)(Br)Br)c1
B305,m,0.09,CO[Si](OC)(OC)c1cccc(C(=O)O)c1
B9,m,1.1,O=C(O)c1cccc(I(Cl)Cl)c1
B96,m,0.78,N#C/N=[N+](/[O-])c1cccc(C(=O)O)c1
B384,m,-0.05,O=C(O)c1cccc(C2CCCC2)c1
B397,m,0.95,O=C(O)c1cccc(P(=O)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)c1
B432,m,-0.1,O=C(O)c1cccc(C2=CCCCC2)c1
B440,m,0.06,C[N+](C)(C)CCCc1cccc(C(=O)O)c1
B243,m,0.23,[NH3+]CCc1cccc(C(=O)O)c1
B264,m,0.24,O=C(O)c1cccc(/C=C/C(F)(F)F)c1
B501,m,0.03,O=C(O)c1cccc([As](c2ccccc2)c2ccccc2)c1
B126,m,0.19,O=CNc1cccc(C(=O)O)c1
B414,m,0.32,O=C(O)c1cccc(Sc2ccc([N+](=O)[O-])cc2)c1
B224,m,0.66,CCS(=O)(=O)c1cccc(C(=O)O)c1
B429,m,0.56,O=C(O)c1cccc(S(=O)(=O)Nc2ccccc2)c1
B122,m,0.12,O=C(O)c1cccc(CF)c1
B446,m,0.3,O=C(O)c1cccc(-c2nc3ccccc3o2)c1
B104,m,0.31,O=C(O)c1cccc(OC(F)F)c1
B185,m,0.12,O=C(O)c1cccc(CC(F)(F)F)c1
B193,m,0.06,C=Cc1cccc(C(=O)O)c1
B482,m,0.41,CCCCOP(=O)(OCCCC)c1cccc(C(=O)O)c1
B117,m,0.35,O=Cc1cccc(C(=O)O)c1
B454,m,0.23,O=C(O)c1cccc(C(=O)Nc2ccccc2)c1
B173,m,0.6,O=C(O)c1cccc(P(C(F)(F)F)C(F)(F)F)c1
B285,m,0.11,CCOC(=O)Nc1cccc(C(=O)O)c1
B140,m,0.49,CN(c1cccc(C(=O)O)c1)[N+](=O)[O-]
B326,m,0.15,O=C(O)c1cccc(-c2ccc(Br)o2)c1
B215,m,0.24,CC(=S)Nc1cccc(C(=O)O)c1
B365,m,0.39,CCP(=S)(CC)c1cccc(C(=O)O)c1
B459,m,0,O=C(O)c1cccc(C(O)c2ccccc2)c1
B149,m,0.43,CS(=O)(=O)Sc1cccc(C(=O)O)c1
B509,m,0.37,O=C(O)c1cccc(-c2cc(=O)c3ccc4ccccc4c3o2)c1
B158,m,0.58,O=C(O)c1cccc(N(C(=O)F)C(=O)F)c1
B375,m,0.77,N#CC(C#N)=C(C#N)c1cccc(C(=O)O)c1
B50,m,-0.01,O=C(O)c1cccc(B(O)O)c1
B355,m,-0.03,COC(OC)(OC)c1cccc(C(=O)O)c1
B528,m,0.53,O=C(O)c1cccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)c1
B291,m,0.04,CCNC(=O)Nc1cccc(C(=O)O)c1
B228,m,0.16,C[Si](C)(Cl)c1cccc(C(=O)O)c1
B404,m,0.15,O=C(O)c1cccc(-c2ccc(Br)cc2)c1
B38,m,-0.47,O=C(O)c1cccc([O-])c1
B385,m,0.27,CC(C)(C)C(=O)c1cccc(C(=O)O)c1
B169,m,0.4,O=C(O)c1cccc(N(C(F)(F)F)C(F)(F)F)c1
B316,m,0.63,O=C(O)c1cccc(C(=O)C(F)(F)C(F)(F)C(F)(F)F)c1
B421,m,0.5,O=C(O)c1cccc(S(=O)c2ccccc2)c1
B381,m,0.25,Cc1nc(C)nc(-c2cccc(C(=O)O)c2)n1
B354,m,-0.16,CC(C)(O)Cc1cccc(C(=O)O)c1
B5,m,0.37,O=C(O)c1cccc(Cl)c1
B120,m,0.11,O=C(O)c1cccc(CCl)c1
B60,m,0.05,O=C(O)c1cccc([SiH3])c1
B261,m,0.44,O=C(O)c1cccc(C(SC(F)(F)F)SC(F)(F)F)c1
B29,m,0.58,O=Ic1cccc(C(=O)O)c1
B263,m,0.16,O=C(O)c1cccc(/C=C\C(F)(F)F)c1
B36,m,0,O=C(O)c1cccc(N=[N+]([O-])[O-])c1
B127,m,0.28,NC(=O)c1cccc(C(=O)O)c1
B314,m,1.28,O=C(O)c1cccc(I(OC(=O)C(F)(F)F)OC(=O)C(F)(F)F)c1
B304,m,0.04,CO[Si](C)(OC)c1cccc(C(=O)O)c1
B82,m,0.44,O=C(O)c1cccc([Se]C(F)(F)F)c1
B75,m,0.38,O=C(O)c1cccc(OC(F)(F)F)c1
B276,m,0.38,CCC(=O)c1cccc(C(=O)O)c1
B54,m,0.36,O=C(O)c1cccc(P(=O)(O)O)c1
B68,m,0.55,O=C(O)c1cccc(C(=O)F)c1
