ID,Type,Sigma,SMILES
A207,p,-0.22,O=C(O)c1ccc(N2CC2)cc1
A269,p,0.13,O=C/C=C/c1ccc(C(=O)O)cc1
A183,p,0.24,O=C(O)c1ccc(S/C=C/Cl)cc1
A57,p,0.01,O=C(O)c1ccc([GeH3])cc1
A453,p,-0.19,O=C(O)c1ccc(NC(=O)c2ccccc2)cc1
A138,p,-0.57,O=C(O)c1ccc(NCS(=O)(=O)[O-])cc1
A407,p,0.1,O=C(O)c1ccc(-c2cccc(F)c2)cc1
A281,p,0.12,C=CC[Se]c1ccc(C(=O)O)cc1
A289,p,-0.13,CCCc1ccc(C(=O)O)cc1
A150,p,0.36,CS(=O)(=O)Oc1ccc(C(=O)O)cc1
A376,p,0.1,N#Cc1ccc(-c2ccc(C(=O)O)cc2)o1
A286,p,0.2,CC(C)(c1ccc(C(=O)O)cc1)[N+](=O)[O-]
A476,p,0.08,C/C(=N\c1ccc(C(=O)O)cc1)Nc1ccccc1
A391,p,0.06,CCOP(=O)(Cc1ccc(C(=O)O)cc1)OCC
A237,p,1.17,Cn1c2ccc(C(=O)O)cc2n[n+]1C
A371,p,0.25,CN(C)P(c1ccc(C(=O)O)cc1)N(C)C
A521,p,0.23,Cc1ccc(P(=S)(c2ccc(C)cc2)c2ccc(C(=O)O)cc2)cc1
A192,p,0.14,N#CSCc1ccc(C(=O)O)cc1
A82,p,0.45,O=C(O)c1ccc([Se]C(F)(F)F)cc1
A112,p,0.5,O=C(O)c1ccc(-n2cnnn2)cc1
A108,p,0.84,N=S(=O)(c1ccc(C(=O)O)cc1)C(F)(F)F
A475,p,-0.12,O=C(O)c1ccc(CCc2ccccc2)cc1
A455,p,-0.03,Cc1ccc(-c2ccc(C(=O)O)cc2)cc1
A115,p,0.45,O=C(O)c1ccc(-n2nnnc2S)cc1
A129,p,0.1,O=C(O)c1ccc(/C=N/O)cc1
A381,p,0.39,Cc1nc(C)nc(-c2ccc(C(=O)O)cc2)n1
A11,p,0.61,O=C(O)c1ccc(P(Cl)Cl)cc1
A67,p,0.35,O=C(O)c1ccc(OC(Cl)(Cl)Cl)cc1
A315,p,0.53,O=C(O)c1ccc(C2(F)C(F)(F)C(F)(F)C2(F)F)cc1
A228,p,0.21,C[Si](C)(Cl)c1ccc(C(=O)O)cc1
A101,p,0.32,O=C(O)c1ccc(C(Cl)Cl)cc1
A422,p,0.08,CC(=O)c1ccc(-c2ccc(C(=O)O)cc2)o1
A202,p,0.31,CC(=O)Oc1ccc(C(=O)O)cc1
