ID,Type,Sigma,SMILES
A66,p,0.46,O=C(O)c1ccc(C(Cl)(Cl)Cl)cc1
B97,m,0.72,O=C(O)c1cccc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1
A302,p,-0.02,CO[Si](C)(C)c1ccc(C(=O)O)cc1
B40,m,0.3,O=C(O)c1cccc(S(=O)(=O)[O-])c1
A446,p,0.33,O=C(O)c1ccc(-c2nc3ccccc3o2)cc1
B465,m,0.34,O=C(O)c1cccc(C(F)(F)C(F)(F)c2ccc(F)cc2)c1
B449,m,0.21,O=C(O)c1cccc(OC(=O)c2ccccc2)c1
A244,p,0.04,C[SiH](C)c1ccc(C(=O)O)cc1
A263,p,0.17,O=C(O)c1ccc(/C=C\C(F)(F)F)cc1
B183,m,0.31,O=C(O)c1cccc(S/C=C/Cl)c1
A51,p,-0.66,Nc1ccc(C(=O)O)cc1
B162,m,0.56,O=C(O)c1cccc(OC(=O)C(F)(F)F)c1
B420,m,0.25,O=C(O)c1cccc(Oc2ccccc2)c1
A167,p,1.08,O=C(O)c1ccc(S(=O)(=O)C(F)(F)C(F)(F)F)cc1
B358,m,0.52,CC[As](=S)(CC)c1cccc(C(=O)O)c1
A219,p,-0.15,CCc1ccc(C(=O)O)cc1
B300,m,0.88,C[N+](C)(C)c1cccc(C(=O)O)c1
B327,m,0.33,O=C(O)c1cccc(N2C(=O)C=CC2=O)c1
B8,m,0.44,O=C(O)c1cccc(SCl)c1
B412,m,0.21,O=C(O)c1cccc(-c2cccc([N+](=O)[O-])c2)c1
A211,p,0,CC(=O)Nc1ccc(C(=O)O)cc1
A296,p,-0.14,CC(C)(OO)c1ccc(C(=O)O)cc1
B142,m,0.12,COc1cccc(C(=O)O)c1
B467,m,0.39,O=C(O)c1cccc(/C=N/C(=O)c2ccccc2)c1
B324,m,0.36,O=C(O)c1cccc(C2(O)C(F)(F)C(F)(F)C2(F)F)c1
B370,m,0.3,CN(C)P(=O)(c1cccc(C(=O)O)c1)N(C)C
A464,p,-0.01,C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)c1ccc(C(=O)O)cc1
A293,p,-0.45,CC(C)Oc1ccc(C(=O)O)cc1
B435,m,-0.08,CN(C)CCCCc1cccc(C(=O)O)c1
A74,p,0.68,O=C(O)c1ccc(N=NC(F)(F)F)cc1
A265,p,0.55,O=C(O)c1ccc(/C=C/S(=O)(=O)C(F)(F)F)cc1
A46,p,-0.07,O=C(O)c1ccc(S(=O)O)cc1
A128,p,0.3,NC(=S)c1ccc(C(=O)O)cc1
B402,m,0.26,O=C(O)c1cccc(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1
A50,p,0.12,O=C(O)c1ccc(B(O)O)cc1
B214,m,0.06,NC(=O)Cc1cccc(C(=O)O)c1
B522,m,1.09,Cc1ccc([P+](C)(c2ccccc2)c2cccc(C(=O)O)c2)cc1
A252,p,0.23,O=C(O)c1ccc(N=C(C(F)(F)F)C(F)(F)F)cc1
B181,m,0.63,O=C(O)c1cccc(-n2nnnc2SS2=NN=NN2)c1
B526,m,-0.33,O=C(O)c1cccc(N=P(c2ccccc2)(c2ccccc2)c2ccccc2)c1
B438,m,0.38,CCCOP(=O)(OCCC)c1cccc(C(=O)O)c1
B21,m,0.49,O=C(O)c1cccc(P(F)F)c1
B274,m,0.56,CCC(c1cccc(C(=O)O)c1)([N+](=O)[O-])[N+](=O)[O-]
A36,p,-0.43,O=C(O)c1ccc(N=[N+]([O-])[O-])cc1
A34,p,1.91,N#[N+]c1ccc(C(=O)O)cc1
A180,p,0.47,O=C(O)c1ccc(SC(F)(F)C(F)F)cc1
A221,p,-0.24,CCOc1ccc(C(=O)O)cc1
B408,m,0.12,O=C(O)c1cccc(-c2ccc(F)cc2)c1
B307,m,-0.04,C[Si](C)(C)c1cccc(C(=O)O)c1
B238,m,0.43,CP(C)(=O)c1cccc(C(=O)O)c1
B128,m,0.25,NC(=S)c1cccc(C(=O)O)c1
A60,p,0.1,O=C(O)c1ccc([SiH3])cc1
B455,m,0.06,Cc1ccc(-c2cccc(C(=O)O)c2)cc1
B344,m,0.35,CC(=O)N(C(C)=O)c1cccc(C(=O)O)c1
B226,m,0.38,CN(C)P(Cl)c1cccc(C(=O)O)c1
A460,p,0.07,O=C(O)c1ccc(COc2ccccc2)cc1
A380,p,0.44,O=C(O)c1ccc(-c2ccncc2)cc1
A27,p,0.68,O=C(O)c1ccc(S(F)(F)(F)(F)F)cc1
B70,m,0.43,O=C(O)c1cccc(C(F)(F)F)c1
B306,m,0.74,C[P+](C)(C)c1cccc(C(=O)O)c1
A10,p,0.9,O=C(O)c1ccc(P(=O)(Cl)Cl)cc1
A274,p,0.64,CCC(c1ccc(C(=O)O)cc1)([N+](=O)[O-])[N+](=O)[O-]
A109,p,0.39,O=C(O)c1ccc(NS(=O)(=O)C(F)(F)F)cc1
A393,p,-0.17,C[Si](C)(C)CCc1ccc(C(=O)O)cc1
A395,p,0.24,O=C(O)c1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1
B235,m,0.12,CN(C)Sc1cccc(C(=O)O)c1
B283,m,0.31,CC(=O)N(C)c1cccc(C(=O)O)c1
B337,m,0.03,O=C(O)c1cccc(-c2ccsc2)c1
A490,p,0.05,O=C(O)c1ccc(/C=C/C(=O)c2ccccc2)cc1
B156,m,0.2,CS(=O)(=O)Nc1cccc(C(=O)O)c1
B330,c,0.04,O=C(O)c1ccc2ccccc2c1
B197,m,0.54,CC(c1cccc(C(=O)O)c1)([N+](=O)[O-])[N+](=O)[O-]
B221,m,0.1,CCOc1cccc(C(=O)O)c1
A254,p,0.53,O=C(O)c1ccc(C(F)(C(F)(F)F)C(F)(F)F)cc1
A240,p,0.06,CP(C)c1ccc(C(=O)O)cc1
B367,m,0.24,C[NH+](C)CCc1cccc(C(=O)O)c1
A421,p,0.44,O=C(O)c1ccc(S(=O)c2ccccc2)cc1
B150,m,0.39,CS(=O)(=O)Oc1cccc(C(=O)O)c1
A526,p,-0.77,O=C(O)c1ccc(N=P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
A89,p,0.19,O=C=Nc1ccc(C(=O)O)cc1
A161,p,0.46,O=C(O)c1ccc(SC(=O)C(F)(F)F)cc1
B357,m,0.57,CC[As](=O)(CC)c1cccc(C(=O)O)c1
A1,p,0.48,O=C(O)c1ccc(B(F)F)cc1
B343,m,0.85,CC(=O)OI(OC(C)=O)c1cccc(C(=O)O)c1
B107,m,0.33,O=C(O)c1cccc(SC(F)F)c1
B519,m,0.36,O=C(O)c1cccc(C(=O)OC(c2ccccc2)c2ccccc2)c1
A264,p,0.27,O=C(O)c1ccc(/C=C/C(F)(F)F)cc1
A303,p,-0.27,C[Si](C)(C)Oc1ccc(C(=O)O)cc1
B135,m,0.31,C[Si](Cl)(Cl)c1cccc(C(=O)O)c1
A238,p,0.5,CP(C)(=O)c1ccc(C(=O)O)cc1
B154,m,-0.21,CNc1cccc(C(=O)O)c1
A492,p,-0.01,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)c1ccc(C(=O)O)cc1
B242,m,1.06,Cc1ccc(S(=O)(=O)S(C)(C)c2cccc(C(=O)O)c2)cc1
A481,p,0.49,CCCCP(=O)(CCCC)c1ccc(C(=O)O)cc1
B378,m,0.33,O=C(O)c1cccc(-c2ccccn2)c1
A272,p,-0.09,C/C=C/c1ccc(C(=O)O)cc1
B92,m,0.48,O=C(O)c1cccc(N=C=S)c1
B256,m,0.92,O=C(O)c1cccc(S(=O)(=O)C(F)(C(F)(F)F)C(F)(F)F)c1
B472,m,0.09,COc1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1
B389,m,-0.08,CCCCCc1cccc(C(=O)O)c1
A501,p,0.09,O=C(O)c1ccc([As](c2ccccc2)c2ccccc2)cc1
B444,m,1.24,O=C(O)c1cccc(P(=NS(=O)(=O)C(F)(F)F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)c1
